"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"abZ-mEvF6Tj4hfyIg0lKwQ","31-05 34th St","Italian","{""latitude"":{""N"":""40.7629734277725""},""longitude"":{""N"":""-73.92119564116""}}","2021-10-12 15:30:14","Vite Vinosteria","4.5","4.5","11106"
"gAMETn5mltwjn2QLt6bWjw","110 St Marks Pl","Italian","{""latitude"":{""N"":""40.726966""},""longitude"":{""N"":""-73.984334""}}","2021-10-12 15:31:15","Isabella","4.5","4.5","10009"
"GnaeBuilZb_fU01v3wNhZw","411 Washington St","Italian","{""latitude"":{""N"":""40.74131""},""longitude"":{""N"":""-74.02953""}}","2021-10-12 15:30:48","Grimaldi's","4","4","07030"
"rJfGgBleDYCVq2rkBr_w-Q","26 Broadway","Italian","{""latitude"":{""N"":""40.710372""},""longitude"":{""N"":""-73.96794""}}","2021-10-12 15:30:47","Barano","4.5","4.5","11249"
"YE4pvo8ectzEaRYGqUgFcA","1166 1st Ave","Italian","{""latitude"":{""N"":""40.76256""},""longitude"":{""N"":""-73.9596""}}","2021-10-12 15:30:14","Felice 64","4","4","10065"
"XfOa_KyrV7JSFJMOKckGMg","97 Macdougal St","Italian","{""latitude"":{""N"":""40.72959""},""longitude"":{""N"":""-74.0011""}}","2021-10-12 15:30:12","Monte's Trattoria","4","4","10012"
"cGqMEMQFtkB3hIGfLy2R3A","268 Ave Of The Americas","Italian","{""latitude"":{""N"":""40.729047""},""longitude"":{""N"":""-74.002153""}}","2021-10-12 15:31:15","Bar Pitti","3.5","3.5","10014"
"aLM9irVFlNoVlS9dGuW_Lg","209 E 56th St","Italian","{""latitude"":{""N"":""40.759426""},""longitude"":{""N"":""-73.967063""}}","2021-10-12 15:28:41","Amata","4.5","4.5","10022"
"'-Gc5sTFxoXM3Tiv_dkSJZg","55 Water St","Italian","{""latitude"":{""N"":""40.7033063330116""},""longitude"":{""N"":""-73.9916549604523""}}","2021-10-12 15:29:45","Cecconi's Dumbo","3.5","3.5","11201"
"f_1BjTChf6bobreSRpqhsw","886 Amsterdam Ave","Italian","{""latitude"":{""N"":""40.7988462""},""longitude"":{""N"":""-73.967065""}}","2021-10-12 15:29:44","Arco Cafe","4.5","4.5","10025"
"9K0run3oObR0YT4jaOEvWg","327 2nd Ave","Italian","{""latitude"":{""N"":""40.73541417""},""longitude"":{""N"":""-73.982956""}}","2021-10-12 15:30:14","L'Angeletto","4.5","4.5","10003"
"562aZEpTDdYKDe5hWuDyFA","226 E 53rd St","Italian","{""latitude"":{""N"":""40.75716""},""longitude"":{""N"":""-73.96833""}}","2021-10-12 15:28:41","La Gioconda","4","4","10022"
