"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"H1jops1lmuhrq9lP7lEGJQ","484 Amsterdam Ave","Chinese","{""latitude"":{""N"":""40.78609""},""longitude"":{""N"":""-73.97658""}}","2021-10-12 14:19:20","Flor De Mayo","4","4","10024"
"TU_BU9HLflYI2xlyqVQdRA","42 E 58th St","Chinese","{""latitude"":{""N"":""40.762639""},""longitude"":{""N"":""-73.971447""}}","2021-10-12 14:17:44","TAO Uptown","3.5","3.5","10022"
"0vg2Z-HPwkyVVX613j2ysg","1659 1st Ave","Chinese","{""latitude"":{""N"":""40.77726""},""longitude"":{""N"":""-73.94932""}}","2021-10-12 14:17:42","Peng's Noodle Folk","4.5","4.5","10028"
"WIj12zDqIbBucW1hXYhrew","92 E Broadway","Chinese","{""latitude"":{""N"":""40.71399""},""longitude"":{""N"":""-73.99367""}}","2021-10-12 14:19:20","King's Kitchen","4","4","10002"
"Aux2Mp7bGnF3S6h60ab3iQ","1557 Lexington Ave","Chinese","{""latitude"":{""N"":""40.7879244458184""},""longitude"":{""N"":""-73.948986355818""}}","2021-10-12 14:25:58","Yummy City","4.5","4.5","10029"
"Y92VtOkTZ6BirkJbUKCMOw","242 W 56th St","Chinese","{""latitude"":{""N"":""40.76572""},""longitude"":{""N"":""-73.98286""}}","2021-10-12 14:15:57","Rong Cheng House","4","4","10019"
"3gqKLANaXNsHZnPDjKrcTg","159 Graham Ave","Chinese","{""latitude"":{""N"":""40.70747""},""longitude"":{""N"":""-73.94339""}}","2021-10-12 14:19:19","Win Son","4","4","11206"
"olRNNJCJ2TJvPRmjBiOcGA","137 E 13th St","Chinese","{""latitude"":{""N"":""40.73297""},""longitude"":{""N"":""-73.98829""}}","2021-10-12 14:15:57","Silky Kitchen","4.5","4.5","10003"
"9b_FvTUgkkUUMyL0nGhFtg","792 9th Ave","Chinese","{""latitude"":{""N"":""40.764957""},""longitude"":{""N"":""-73.987485""}}","2021-10-12 14:15:56","Three Roosters","5","5","10019"
"'-lgNzAEyFr8LCTuBTWnAMg","28 W 56th St","Chinese","{""latitude"":{""N"":""40.7628979550614""},""longitude"":{""N"":""-73.9759572967887""}}","2021-10-12 14:17:43","Dim Sum Palace","4","4","10019"
